Elevacao_deg,Azimute_otimo_deg,Desvio_z_resultante_m,Alcance_x_m,Altura_max_m,Tempo_voo_s,Diferenca_x_m
3.5,-0.15,1.428910877932278,5658.555730496634,109.6310269131789,9.2650136518497,106.60977943639045
3.4,-0.15,1.124036026348822,5550.258935153612,104.4166943376644,9.031961990020081,108.2967953430225
3.3,-0.15,0.8303427687709183,5440.239495679376,99.31826804650595,8.798101832534813,110.0194394742357
3.2,-0.15,0.5480827944724747,5328.464423742884,94.3378402725845,8.563446320506893,111.77507193649217
3.1,-0.15,0.2774302576708865,5214.898814248222,89.47964802271905,8.3280074989986,113.56560949466166
3.0,-0.15,0.01862870382165856,5099.51315794711,84.74555133742892,8.09181129557515,115.38565630111225
2.9,-0.15,-0.2281482131615798,4982.27377471588,80.13358638448422,7.85487722390123,117.23938323123002
2.8,-0.15,-0.4625666437205392,4863.152732268167,75.64553068614126,7.61723844936841,119.12104244771308
2.7,-0.15,-0.6842452505047355,4742.121207469082,71.28841536070206,7.378927532335599,121.03152479908476
2.6,-0.15,-0.8933564238859517,4619.152555361309,67.06283773688979,7.139982453524759,122.96865210777287
2.5,-0.15,-1.089197156050133,4494.224952228841,62.964334508784,6.900451067327,124.927603132468
2.4,-0.15,-1.271768972384842,4367.326599341042,58.99832571965392,6.660399762831204,126.89835288779886
2.3,-0.15,-1.440614920855592,4238.436268237788,55.17474907242107,6.419876525924209,128.89033110325454
2.2,-0.15,-1.595436232242395,4107.563484604553,51.48600289315596,6.17898508678488,130.87278363323458
2.1,-0.1,1.732334516257343,3974.696983312842,47.92993509126024,5.937788595301637,132.8665012917113
2.0,-0.1,1.489024639807993,3839.871957427077,44.52426947429674,5.69643093633293,134.82502588576472
1.9,-0.1,1.258081980681233,3703.097683393381,41.26543367286968,5.45500539022844,136.7742740336962
1.8,-0.1,1.041822951347352,3564.438607613153,38.13945907167154,5.213696680814394,138.6590757802278
1.7,-0.1,0.8380012373073311,3423.946887481813,35.17111573396529,4.972660039871144,140.49172013134012
1.6,-0.1,0.6501850308169195,3281.72530623166,32.36209345674395,4.73212818743864,142.22158125015312
1.5,-0.1,0.4745937471666245,3137.89105956452,29.68604970276886,4.492345702445726,143.83424666713972
1.4,-0.1,0.3166139659304154,2992.617966524852,27.18130405619889,4.253636333997026,145.2730930396683
1.3,-0.1,0.1700808826488083,2846.088343325931,24.84158589731267,4.016319436500999,146.52962319892094
1.2,-0.1,0.04296703357415892,2698.634254753601,22.63347381293677,3.780933283939927,147.45408857232997
